JourID,JOUR,JOUR_NAME,FULL_NAME,CALLNUMBER,REMARKS,TimeStamp
1,AMRAC,"Annales, MusÃ©e Royal de l'Afrique Centrale, Tervuren, SÃ©rie in 8o, Sciences Zoologiques",NULL,NULL,"= Annalen Koninklijk Museum voor Midden-Africa, Zoologiste wetenschapen.  Tervuren, v. 91.1961 - 236.1982; 240.1984; 255.1988.",26:26.0
2,ANYAS,Annals of the New York Academy of Sciences,NULL,NULL,NULL,22:55.0
3,ANM,Annals of the Natal Museum,NULL,QH195.S6 A56,Pietermaritzburg.  ISSN 0304-0798.,57:44.0
4,ANHMW,Annalen des Naturhistorischen Museums in Wien,NULL,QH5 .V815-816-817,Vienna.  ISSN 0255-0105.  Series B is Botonik und Zoologie.  ISSN 0255-0105.,51:52.0
8,ASAM,Annals of the South African Museum,NULL,CAS QH1 .S67,Cape Town.  ISSN 0303-2525  Also know as: Annale van die Suid-Afrikanse Museum.,51:41.0
12,ATM,Annals of the Transvaal Museum,NULL,QH1 .A559,Pretoria.  ISSN 0041-1752.  Also seen as: Annale van die Transvaal Museum.,51:27.0
13,AZW,Annales Zoologici (Warsaw) [Anales of Zoology],Annales Zoologici (Warsaw),NULL,ISSN 0003-4541.,59:23.0
14,ANNZB,Annotationes Zoologicae et Botanicae,Annotationes Zoologicae et Botanicae (Bratislava),NULL,Bratislava.  ISSN 0570-202X.  Also seen as above plus:  SlovenskÃ© NÃ¡rodnÃ© MÃºzeum.,20:31.0
15,AZJ,Annotationes Zoologicae Japonenses,NULL,QL1 .A56,NULL,23:02.0
16,AJUS,Antarctic Journal of the United States,NULL,NULL,Washington DC.  ISSN 0003-5335.,01:45.0
17,ARS,"Antarctic Research Series, Washington DC.",NULL,Q115 .A45,Washington DC.  ISSN 0066-4634.,16:28.0
19,AQC,Aquaculture,NULL,NULL,Amsterdam.  ISSN 0044-8486.,03:24.0
20,ATZ,Die Aquarien- und Terrarienzeitschrift (DATZ),NULL,NULL,"A. Kernen Verlag .. Ulmer Verlag, Stuttgart.  From Aug. 2  Natur und Tier-Verlag MÃ¼nster.  ISSN 1616-3222.  Aug 2011 - .",19:25.0
21,AQMAG,Aquarien Magazin,NULL,NULL,"Neue Monatshefte fÃ¼r Aquarien- und Vivarienkunde, Kosmos-Verlag, Stuttgart. ISSN 0003-7257.",30:11.0
22,AT,Aquarien Terrarien,NULL,NULL,"Leipzig.  ISSN 0323-5610.  Cont. as ""Monatsschrift fÃ¼r Ornithologie und Vivarienkunde Ausgabe B Aquarien und Terrarien"".  There is another serial called ""Aqua Terra"".",11:56.0
23,AJ,Aquarium Journal,NULL,NULL,"Continued as ""Ichthyologica the Aquarium Journal""",15:33.0
25,AFW,Archiv fÃ¼r Fischereiwissenschaft,NULL,NULL,Stuttgart.  ISSN 0003-9063.,08:55.0
