LineageID,NAME,AUTHOR_DATE,COMMONNAME,INDEXNAME,CLASS_NM,ORD_NM,SO_NM,FAM_NM,SF_NM,REMARKS,ClassNum,OrderNum,SuborderNum,FamilyNum,SubfamilyNum,TimeStamp
405,Myxininae,Rafinesque 1815,hagfishes,NULL,Myxini,Myxiniformes,NULL,Myxinidae,Myxininae,NULL,1,1,NULL,1,3,16:21.0
406,Eptatretinae,Bonaparte 1850,multi-gill hagfishes,NULL,Myxini,Myxiniformes,NULL,Myxinidae,Eptatretinae,NULL,1,1,NULL,1,2,22:16.0
563,Myxinidae,Rafinesque 1815,hagfishes,hagfishes,Myxini,Myxiniformes,NULL,Myxinidae,NULL,NULL,1,1,NULL,1,NULL,11:42.0
1139,Rubicundinae,"Fernholm, NorÃ©n, Kullander, Quattrini et al. 2013",reddish hagfishes,NULL,Myxini,Myxiniformes,NULL,Myxinidae,Rubicundinae,[ref. 32793],1,1,NULL,1,1,20:31.0
1318,Percalates-clade,NULL,Australian basses,NULL,Actinopteri,Centrarchiformes,Percalatoidei,Percalates-clade,NULL,NULL,8,62.6,5,1,NULL,44:31.0
564,Petromyzontidae,Bonaparte 1831,lampreys,lampreys,Petromyzonti,Petromyzontiformes,NULL,Petromyzontidae,NULL,NULL,3,5,NULL,2,NULL,55:59.0
408,Geotriidae,Gill 1893,pouched lampreys,NULL,Petromyzonti,Petromyzontiformes,NULL,Geotriidae,NULL,NULL,3,5,NULL,2.1,NULL,16:26.0
409,Mordaciidae,Gill 1893,southern topeyed lampreys,NULL,Petromyzonti,Petromyzontiformes,NULL,Mordaciidae,NULL,NULL,3,5,NULL,2.2,NULL,51:30.0
1,Callorhinchidae,Garman 1901,plownose chimaeras,chimaeras;plownose,Holocephali,Chimaeriformes,NULL,Callorhinchidae,NULL,NULL,6,1,NULL,3,NULL,27:19.0
2,Chimaeridae,Rafinesque 1815,shortnose chimaeras or ratfishes,chimaeras/shortnose;ratfishes,Holocephali,Chimaeriformes,NULL,Chimaeridae,NULL,NULL,6,1,NULL,4,NULL,27:43.0
3,Rhinochimaeridae,Garman 1901,longnose chimaeras,chimaeras;longnose,Holocephali,Chimaeriformes,NULL,Rhinochimaeridae,NULL,NULL,6,1,NULL,5,NULL,27:56.0
5,Hexanchidae,Gray 1851,cow sharks,sharks;cow,Elasmobranchii,Hexanchiformes,NULL,Hexanchidae,NULL,NULL,5,6,NULL,7,NULL,09:53.0
4,Chlamydoselachidae,Garman 1884,frill sharks,sharks;frill,Elasmobranchii,Hexanchiformes,NULL,Chlamydoselachidae,NULL,NULL,5,6,NULL,7.6,NULL,04:38.0
6,Heterodontidae,Gray 1851,bullhead and horn sharks,sharks;bullhead/sharks;horn,Elasmobranchii,Heterodontiformes,NULL,Heterodontidae,NULL,NULL,5,7,NULL,8,NULL,09:43.0
608,Rhincodontidae,MÃ¼ller & Henle 1841,whale sharks,sharks;whale,Elasmobranchii,Orectolobiformes,NULL,Rhincodontidae,NULL,NULL,5,8,NULL,9,NULL,20:43.0
565,Parascylliidae,Gill 1862,collared carpet sharks,sharks;collared carpet,Elasmobranchii,Orectolobiformes,NULL,Parascylliidae,NULL,NULL,5,8,NULL,10.1,NULL,15:16.0
566,Brachaeluridae,Applegate 1974,blind sharks,sharks;blind,Elasmobranchii,Orectolobiformes,NULL,Brachaeluridae,NULL,NULL,5,8,NULL,10.2,NULL,02:13.0
7,Orectolobidae,Gill 1896,wobbegongs,wobbegons,Elasmobranchii,Orectolobiformes,NULL,Orectolobidae,NULL,NULL,5,8,NULL,10.3,NULL,31:00.0
567,Hemiscylliidae,Gill 1862,bamboo sharks,sharks;bamboo,Elasmobranchii,Orectolobiformes,NULL,Hemiscylliidae,NULL,NULL,5,8,NULL,10.4,NULL,09:34.0
568,Stegostomatidae,Gill 1862,zebra sharks,sharks;zebra,Elasmobranchii,Orectolobiformes,NULL,Stegostomatidae,NULL,NULL,5,8,NULL,10.5,NULL,23:20.0
569,Ginglymostomatidae,Gill 1862,nurse sharks,"sharks, nurse",Elasmobranchii,Orectolobiformes,NULL,Ginglymostomatidae,NULL,NULL,5,8,NULL,10.6,NULL,07:28.0
609,Mitsukurinidae,Jordan 1898,goblin sharks,sharks;goblin,Elasmobranchii,Lamniformes,NULL,Mitsukurinidae,NULL,NULL,5,8.5,NULL,11,NULL,09:53.0
1316,Carchariidae,MÃ¼ller & Henle 1838,sand tigers,NULL,Elasmobranchii,Lamniformes,NULL,Carchariidae,NULL,Based on ref. 37195,5,8.5,NULL,11.1,NULL,19:22.0
8,Odontaspididae,MÃ¼ller & Henle 1839,sand tiger sharks,sharks;sand tiger,Elasmobranchii,Lamniformes,NULL,Odontaspididae,NULL,NULL,5,8.5,NULL,11.2,NULL,09:31.0
570,Pseudocarchariidae,"Taylor, Compagno & Struhsaker 1983",crocodile sharks,sharks;crocodile,Elasmobranchii,Lamniformes,NULL,Pseudocarchariidae,NULL,NULL,5,8.5,NULL,11.3,NULL,18:10.0
660,Megachasmidae,"Taylor, Compagno & Struhsaker 1983",megamouth sharks,"sharks,megamouth",Elasmobranchii,Lamniformes,NULL,Megachasmidae,NULL,NULL,5,8.5,NULL,12.1,NULL,11:51.0
410,Alopiidae,Bonaparte 1835,thresher sharks,sharks;thresher,Elasmobranchii,Lamniformes,NULL,Alopiidae,NULL,NULL,5,8.5,NULL,12.3,NULL,59:39.0
411,Cetorhinidae,Gill 1861,basking sharks,sharks;basking,Elasmobranchii,Lamniformes,NULL,Cetorhinidae,NULL,NULL,5,8.5,NULL,12.5,NULL,13:04.0
9,Lamnidae,Bonaparte 1835,mackerel sharks,"sharks, mackerel",Elasmobranchii,Lamniformes,NULL,Lamnidae,NULL,NULL,5,8.5,NULL,12.7,NULL,13:22.0
1077,Pentanchidae,Smith 1912,deepwater catsharks,NULL,Elasmobranchii,Carcharhiniformes,NULL,Pentanchidae,NULL,NULL,5,8.7,NULL,13.1,NULL,48:52.0
10,Scyliorhinidae,Gill 1862,cat sharks,sharks;cat,Elasmobranchii,Carcharhiniformes,NULL,Scyliorhinidae,NULL,NULL,5,8.7,NULL,13.2,NULL,22:00.0
413,Proscylliidae,Fowler 1941,finback catsharks,catsharks;finback,Elasmobranchii,Carcharhiniformes,NULL,Proscylliidae,NULL,NULL,5,8.7,NULL,13.3,NULL,17:07.0
412,Pseudotriakidae,Gill 1893,false catsharks,catsharks;false,Elasmobranchii,Carcharhiniformes,NULL,Pseudotriakidae,NULL,NULL,5,8.7,NULL,13.4,NULL,18:35.0
571,Leptochariidae,Gray 1851,barbeled houndsharks,houndsharks;barbeled,Elasmobranchii,Carcharhiniformes,NULL,Leptochariidae,NULL,NULL,5,8.7,NULL,14.1,NULL,11:27.0
414,Triakidae,Gray 1851,houndsharks,houndsharks,Elasmobranchii,Carcharhiniformes,NULL,Triakidae,NULL,NULL,5,8.7,NULL,14.2,NULL,23:58.0
694,Galeorhininae,Gill 1862,school sharks,NULL,Elasmobranchii,Carcharhiniformes,NULL,Triakidae,Galeorhininae,NULL,5,8.7,NULL,14.2,2,14:51.0
705,Triakinae,Gray 1851,smouth-hounds,NULL,Elasmobranchii,Carcharhiniformes,NULL,Triakidae,Triakinae,NULL,5,8.7,NULL,14.2,1,37:36.0
572,Hemigaleidae,Hasse 1878,weasel sharks,sharks;weasel,Elasmobranchii,Carcharhiniformes,NULL,Hemigaleidae,NULL,NULL,5,8.7,NULL,14.4,NULL,09:11.0
415,Carcharhinidae,Jordan & Evermann 1896,requiem sharks,sharks;requiem,Elasmobranchii,Carcharhiniformes,NULL,Carcharhinidae,NULL,NULL,5,8.7,NULL,14.5,NULL,02:53.0
11,Sphyrnidae,Bonaparte 1840,hammerhead sharks,sharks;hammerhead,Elasmobranchii,Carcharhiniformes,NULL,Sphyrnidae,NULL,NULL,5,8.7,NULL,14.6,NULL,22:32.0
722,Dalatiidae,Gray 1851,kitefin sharks,NULL,Elasmobranchii,Squaliformes,NULL,Dalatiidae,NULL,NULL,5,9,NULL,15,NULL,27:02.0
718,Etmopteridae,Fowler 1934,lantern sharks,NULL,Elasmobranchii,Squaliformes,NULL,Etmopteridae,NULL,NULL,5,9,NULL,15.1,NULL,08:49.0
1045,Somniosidae,Jordan 1888,sleeper sharks,NULL,Elasmobranchii,Squaliformes,NULL,Somniosidae,NULL,NULL,5,9,NULL,15.2,NULL,58:06.0
1046,Oxynotidae,Gill 1863,rough sharks,NULL,Elasmobranchii,Squaliformes,NULL,Oxynotidae,NULL,NULL,5,9,NULL,15.3,NULL,30:25.0
721,Centrophoridae,Bleeker 1859,gulper sharks,NULL,Elasmobranchii,Squaliformes,NULL,Centrophoridae,NULL,NULL,5,9,NULL,15.5,NULL,12:49.0
12,Squalidae,de Blainville 1816,dogfish sharks,sharks;dogfish,Elasmobranchii,Squaliformes,NULL,Squalidae,NULL,NULL,5,9,NULL,16,NULL,22:46.0
416,Echinorhinidae,Gill 1862,bramble sharks,sharks;bramble,Elasmobranchii,Echinorhiniformes,NULL,Echinorhinidae,NULL,NULL,5,9.2,NULL,16.1,NULL,06:27.0
13,Pristiophoridae,Bleeker 1859,saw sharks,sharks;saw,Elasmobranchii,Pristiophoriformes,NULL,Pristiophoridae,NULL,NULL,5,9.5,NULL,17,NULL,16:47.0
14,Squatinidae,de Blainville 1816,angel sharks,sharks;angel,Elasmobranchii,Squatiniformes,NULL,Squatinidae,NULL,NULL,5,9.7,NULL,18,NULL,23:00.0
1110,Platyrhinidae,Jordan 1923,thornbacks / fanrays,NULL,Elasmobranchii,Torpediniformes,NULL,Platyrhinidae,NULL,NULL,5,10,NULL,20.1,NULL,56:47.0
728,Narkidae,Fowler 1934,sleeper rays,NULL,Elasmobranchii,Torpediniformes,NULL,Narkidae,NULL,NULL,5,10,NULL,20.3,NULL,17:16.0
727,Narcinidae,Gill 1862,numbfishes,NULL,Elasmobranchii,Torpediniformes,NULL,Narcinidae,NULL,NULL,5,10,NULL,20.4,NULL,17:06.0
725,Hypnidae,Gill 1862,coffin rays,NULL,Elasmobranchii,Torpediniformes,NULL,Hypnidae,NULL,NULL,5,10,NULL,20.5,NULL,31:35.0
724,Torpedinidae,Henle 1834,electric rays / torpedo rays,rays;electric,Elasmobranchii,Torpediniformes,NULL,Torpedinidae,NULL,NULL,5,10,NULL,20.6,NULL,09:25.0
1112,Trygonorrhinidae,"Last, SÃ©ret & Naylor 2016",fiddler rays / banjo rays,NULL,Elasmobranchii,Rhinopristiformes,NULL,Trygonorrhinidae,NULL,NULL,5,10.2,NULL,20.8,NULL,56:21.0
16,Rhinobatidae,Bonaparte 1835,guitarfishes,guitarfishes,Elasmobranchii,Rhinopristiformes,NULL,Rhinobatidae,NULL,NULL,5,10.2,NULL,21,NULL,21:12.0
1111,Rhinidae,MÃ¼ller & Henle 1841,bowmouth guitarfishes / wedgefishes,NULL,Elasmobranchii,Rhinopristiformes,NULL,Rhinidae,NULL,NULL,5,10.2,NULL,21.1,NULL,53:23.0
1113,Glaucostegidae,"Last, SÃ©ret & Naylor 2016",giant guitarfishes,NULL,Elasmobranchii,Rhinopristiformes,NULL,Glaucostegidae,NULL,NULL,5,10.2,NULL,21.2,NULL,55:43.0
15,Pristidae,Bonaparte 1835,sawfishes,sawfishes,Elasmobranchii,Rhinopristiformes,NULL,Pristidae,NULL,NULL,5,10.2,NULL,21.3,NULL,16:32.0
