NAME,LineageID,AUTHOR_DATE,COMMONNAME,INDEXNAME,CLASS_NM,ORD_Parent,ORD_NM,SO_Parent,SO_NM,FAM_Parent,FAM_NM,SF_Parent,SF_NM,Parent_id_fomula,Parent_id,Rank_id,Rank_name,REMARKS,ClassNum,OrderNum,SuborderNum,FamilyNum,SubfamilyNum,TimeStamp
Myxininae,405,Rafinesque 1815,hagfishes,NULL,Myxini,636,Myxiniformes,525,NULL,NULL,Myxinidae,563,Myxininae,563,563,51,Subfamily,NULL,1,1,NULL,1,3,16:21.0
Eptatretinae,406,Bonaparte 1850,multi-gill hagfishes,NULL,Myxini,636,Myxiniformes,525,NULL,NULL,Myxinidae,563,Eptatretinae,563,563,51,Subfamily,NULL,1,1,NULL,1,2,22:16.0
Myxinidae,563,Rafinesque 1815,hagfishes,hagfishes,Myxini,636,Myxiniformes,525,NULL,NULL,Myxinidae,NULL,NULL,525,525,50,Family,NULL,1,1,NULL,1,NULL,11:42.0
Rubicundinae,1139,"Fernholm, NorÃ©n, Kullander, Quattrini et al. 2013",reddish hagfishes,NULL,Myxini,636,Myxiniformes,525,NULL,NULL,Myxinidae,563,Rubicundinae,563,563,51,Subfamily,[ref. 32793],1,1,NULL,1,1,20:31.0
Percalates-clade,1318,NULL,Australian basses,NULL,Actinopteri,699,Centrarchiformes,1278,Percalatoidei,1287,Percalates-clade,NULL,NULL,1287,1287,50,Family,NULL,8,62.6,5,1,NULL,44:31.0
Petromyzontidae,564,Bonaparte 1831,lampreys,lampreys,Petromyzonti,983,Petromyzontiformes,526,NULL,NULL,Petromyzontidae,NULL,NULL,526,526,50,Family,NULL,3,5,NULL,2,NULL,55:59.0
Geotriidae,408,Gill 1893,pouched lampreys,NULL,Petromyzonti,983,Petromyzontiformes,526,NULL,NULL,Geotriidae,NULL,NULL,526,526,50,Family,NULL,3,5,NULL,2.1,NULL,16:26.0
Mordaciidae,409,Gill 1893,southern topeyed lampreys,NULL,Petromyzonti,983,Petromyzontiformes,526,NULL,NULL,Mordaciidae,NULL,NULL,526,526,50,Family,NULL,3,5,NULL,2.2,NULL,51:30.0
Callorhinchidae,1,Garman 1901,plownose chimaeras,chimaeras;plownose,Holocephali,610,Chimaeriformes,1082,NULL,NULL,Callorhinchidae,NULL,NULL,1082,1082,50,Family,NULL,6,1,NULL,3,NULL,27:19.0
Chimaeridae,2,Rafinesque 1815,shortnose chimaeras or ratfishes,chimaeras/shortnose;ratfishes,Holocephali,610,Chimaeriformes,1082,NULL,NULL,Chimaeridae,NULL,NULL,1082,1082,50,Family,NULL,6,1,NULL,4,NULL,27:43.0
Rhinochimaeridae,3,Garman 1901,longnose chimaeras,chimaeras;longnose,Holocephali,610,Chimaeriformes,1082,NULL,NULL,Rhinochimaeridae,NULL,NULL,1082,1082,50,Family,NULL,6,1,NULL,5,NULL,27:56.0
Hexanchidae,5,Gray 1851,cow sharks,sharks;cow,Elasmobranchii,637,Hexanchiformes,528,NULL,NULL,Hexanchidae,NULL,NULL,528,528,50,Family,NULL,5,6,NULL,7,NULL,09:53.0
Chlamydoselachidae,4,Garman 1884,frill sharks,sharks;frill,Elasmobranchii,637,Hexanchiformes,528,NULL,NULL,Chlamydoselachidae,NULL,NULL,528,528,50,Family,NULL,5,6,NULL,7.6,NULL,04:38.0
Heterodontidae,6,Gray 1851,bullhead and horn sharks,sharks;bullhead/sharks;horn,Elasmobranchii,637,Heterodontiformes,529,NULL,NULL,Heterodontidae,NULL,NULL,529,529,50,Family,NULL,5,7,NULL,8,NULL,09:43.0
Rhincodontidae,608,MÃ¼ller & Henle 1841,whale sharks,sharks;whale,Elasmobranchii,637,Orectolobiformes,575,NULL,NULL,Rhincodontidae,NULL,NULL,575,575,50,Family,NULL,5,8,NULL,9,NULL,20:43.0
Parascylliidae,565,Gill 1862,collared carpet sharks,sharks;collared carpet,Elasmobranchii,637,Orectolobiformes,575,NULL,NULL,Parascylliidae,NULL,NULL,575,575,50,Family,NULL,5,8,NULL,10.1,NULL,15:16.0
Brachaeluridae,566,Applegate 1974,blind sharks,sharks;blind,Elasmobranchii,637,Orectolobiformes,575,NULL,NULL,Brachaeluridae,NULL,NULL,575,575,50,Family,NULL,5,8,NULL,10.2,NULL,02:13.0
Orectolobidae,7,Gill 1896,wobbegongs,wobbegons,Elasmobranchii,637,Orectolobiformes,575,NULL,NULL,Orectolobidae,NULL,NULL,575,575,50,Family,NULL,5,8,NULL,10.3,NULL,31:00.0
Hemiscylliidae,567,Gill 1862,bamboo sharks,sharks;bamboo,Elasmobranchii,637,Orectolobiformes,575,NULL,NULL,Hemiscylliidae,NULL,NULL,575,575,50,Family,NULL,5,8,NULL,10.4,NULL,09:34.0
Stegostomatidae,568,Gill 1862,zebra sharks,sharks;zebra,Elasmobranchii,637,Orectolobiformes,575,NULL,NULL,Stegostomatidae,NULL,NULL,575,575,50,Family,NULL,5,8,NULL,10.5,NULL,23:20.0
Ginglymostomatidae,569,Gill 1862,nurse sharks,"sharks, nurse",Elasmobranchii,637,Orectolobiformes,575,NULL,NULL,Ginglymostomatidae,NULL,NULL,575,575,50,Family,NULL,5,8,NULL,10.6,NULL,07:28.0
Mitsukurinidae,609,Jordan 1898,goblin sharks,sharks;goblin,Elasmobranchii,637,Lamniformes,576,NULL,NULL,Mitsukurinidae,NULL,NULL,576,576,50,Family,NULL,5,8.5,NULL,11,NULL,09:53.0
Carchariidae,1316,MÃ¼ller & Henle 1838,sand tigers,NULL,Elasmobranchii,637,Lamniformes,576,NULL,NULL,Carchariidae,NULL,NULL,576,576,50,Family,Based on ref. 37195,5,8.5,NULL,11.1,NULL,19:22.0
Odontaspididae,8,MÃ¼ller & Henle 1839,sand tiger sharks,sharks;sand tiger,Elasmobranchii,637,Lamniformes,576,NULL,NULL,Odontaspididae,NULL,NULL,576,576,50,Family,NULL,5,8.5,NULL,11.2,NULL,09:31.0
Pseudocarchariidae,570,"Taylor, Compagno & Struhsaker 1983",crocodile sharks,sharks;crocodile,Elasmobranchii,637,Lamniformes,576,NULL,NULL,Pseudocarchariidae,NULL,NULL,576,576,50,Family,NULL,5,8.5,NULL,11.3,NULL,18:10.0
Megachasmidae,660,"Taylor, Compagno & Struhsaker 1983",megamouth sharks,"sharks,megamouth",Elasmobranchii,637,Lamniformes,576,NULL,NULL,Megachasmidae,NULL,NULL,576,576,50,Family,NULL,5,8.5,NULL,12.1,NULL,11:51.0
Alopiidae,410,Bonaparte 1835,thresher sharks,sharks;thresher,Elasmobranchii,637,Lamniformes,576,NULL,NULL,Alopiidae,NULL,NULL,576,576,50,Family,NULL,5,8.5,NULL,12.3,NULL,59:39.0
Cetorhinidae,411,Gill 1861,basking sharks,sharks;basking,Elasmobranchii,637,Lamniformes,576,NULL,NULL,Cetorhinidae,NULL,NULL,576,576,50,Family,NULL,5,8.5,NULL,12.5,NULL,13:04.0
Lamnidae,9,Bonaparte 1835,mackerel sharks,"sharks, mackerel",Elasmobranchii,637,Lamniformes,576,NULL,NULL,Lamnidae,NULL,NULL,576,576,50,Family,NULL,5,8.5,NULL,12.7,NULL,13:22.0
Pentanchidae,1077,Smith 1912,deepwater catsharks,NULL,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Pentanchidae,NULL,NULL,577,577,50,Family,NULL,5,8.7,NULL,13.1,NULL,48:52.0
Scyliorhinidae,10,Gill 1862,cat sharks,sharks;cat,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Scyliorhinidae,NULL,NULL,577,577,50,Family,NULL,5,8.7,NULL,13.2,NULL,22:00.0
Proscylliidae,413,Fowler 1941,finback catsharks,catsharks;finback,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Proscylliidae,NULL,NULL,577,577,50,Family,NULL,5,8.7,NULL,13.3,NULL,17:07.0
Pseudotriakidae,412,Gill 1893,false catsharks,catsharks;false,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Pseudotriakidae,NULL,NULL,577,577,50,Family,NULL,5,8.7,NULL,13.4,NULL,18:35.0
Leptochariidae,571,Gray 1851,barbeled houndsharks,houndsharks;barbeled,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Leptochariidae,NULL,NULL,577,577,50,Family,NULL,5,8.7,NULL,14.1,NULL,11:27.0
Triakidae,414,Gray 1851,houndsharks,houndsharks,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Triakidae,NULL,NULL,577,577,50,Family,NULL,5,8.7,NULL,14.2,NULL,23:58.0
Galeorhininae,694,Gill 1862,school sharks,NULL,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Triakidae,414,Galeorhininae,414,414,51,Subfamily,NULL,5,8.7,NULL,14.2,2,14:51.0
Triakinae,705,Gray 1851,smouth-hounds,NULL,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Triakidae,414,Triakinae,414,414,51,Subfamily,NULL,5,8.7,NULL,14.2,1,37:36.0
Hemigaleidae,572,Hasse 1878,weasel sharks,sharks;weasel,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Hemigaleidae,NULL,NULL,577,577,50,Family,NULL,5,8.7,NULL,14.4,NULL,09:11.0
Carcharhinidae,415,Jordan & Evermann 1896,requiem sharks,sharks;requiem,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Carcharhinidae,NULL,NULL,577,577,50,Family,NULL,5,8.7,NULL,14.5,NULL,02:53.0
Sphyrnidae,11,Bonaparte 1840,hammerhead sharks,sharks;hammerhead,Elasmobranchii,637,Carcharhiniformes,577,NULL,NULL,Sphyrnidae,NULL,NULL,577,577,50,Family,NULL,5,8.7,NULL,14.6,NULL,22:32.0
Dalatiidae,722,Gray 1851,kitefin sharks,NULL,Elasmobranchii,637,Squaliformes,748,NULL,NULL,Dalatiidae,NULL,NULL,748,748,50,Family,NULL,5,9,NULL,15,NULL,27:02.0
Etmopteridae,718,Fowler 1934,lantern sharks,NULL,Elasmobranchii,637,Squaliformes,748,NULL,NULL,Etmopteridae,NULL,NULL,748,748,50,Family,NULL,5,9,NULL,15.1,NULL,08:49.0
Somniosidae,1045,Jordan 1888,sleeper sharks,NULL,Elasmobranchii,637,Squaliformes,748,NULL,NULL,Somniosidae,NULL,NULL,748,748,50,Family,NULL,5,9,NULL,15.2,NULL,58:06.0
Oxynotidae,1046,Gill 1863,rough sharks,NULL,Elasmobranchii,637,Squaliformes,748,NULL,NULL,Oxynotidae,NULL,NULL,748,748,50,Family,NULL,5,9,NULL,15.3,NULL,30:25.0
Centrophoridae,721,Bleeker 1859,gulper sharks,NULL,Elasmobranchii,637,Squaliformes,748,NULL,NULL,Centrophoridae,NULL,NULL,748,748,50,Family,NULL,5,9,NULL,15.5,NULL,12:49.0
Squalidae,12,de Blainville 1816,dogfish sharks,sharks;dogfish,Elasmobranchii,637,Squaliformes,748,NULL,NULL,Squalidae,NULL,NULL,748,748,50,Family,NULL,5,9,NULL,16,NULL,22:46.0
