CAS_SPC,fullcurrname,synom
5,Himantolophus sagamius,
19,Siganus unimaculatus,
93,Synodus jaculum,
275,Lepidotrigla jimjoebob,
301,Etmopterus bigelowi,
302,Cirrhilabrus luteovittatus,
311,Paraliparis hubbsi,
1047,Clupea pallasii,
1051,Clupeonella cultriventris,
1056,Clupeonella engrauliformis,
1060,Harengula clupeola,
1061,Harengula humeralis,
1062,Harengula jaguana,
1066,Harengula thrissina,
1076,Opisthonema berlangai,
1077,Opisthonema bulleri,
1080,Opisthonema medirastre,
1083,Sardina pilchardus,
1092,Sardinella lemuru,
1096,Sardinella brachysoma,
1098,Sardinella dayi,
1102,Sardinella maderensis,
1107,Sardinella melanura,
1108,Sardinella atricauda,
1111,Sardinella sindensis,
1118,Sardinops sagax,
1120,Sprattus antipodum,
1121,Sprattus muelleri,
1124,Sprattus sprattus,
1132,Anodontostoma selangkat,
1134,Dorosoma anale,
1139,Dorosoma chavesi,
1140,Dorosoma petenense,
1142,Nematalosa papuensis,
1150,Nematalosa japonica,
1152,Dussumieria elopsoides,
1154,Clupea harengus,
1156,Alosa alosa,
1157,Clupanodon thrissa,
1158,Engraulis encrasicolus,
1159,Coilia mystus,
1160,Chirocentrus dorab,
1161,Alosa chrysochloris,
1162,Corica soborna,
1163,Dorosoma cepedianum,
1164,Raconda russeliana,
1168,Menidia menidia,
1169,Ilisha africana,
1170,Thryssa hamiltonii,
1173,Odontognathus mucronatus,
1175,Pristigaster cayana,
1179,Sardinella albella,
1181,Sardinella aurita,
1185,Dussumieria acuta,
1186,Amblygaster clupeoides,
1189,Clupeoides borneensis,
1191,Etrumeus micropus,
1194,Clupeichthys goniognathus,
1199,Pellonula vorax,
1202,Cetengraulis edentulus,
1203,Pterengraulis atherinoides,
1204,Setipinna breviceps,
1205,Lycengraulis grossidens,
1206,Lycothrissa crocodilus,
1210,Clupeonella grimmi,
1214,Lile stolifera,
1215,Jenkinsia stolifera,
1218,Odaxothrissa losera,
1219,Konosirus punctatus,
1220,Microthrissa royauxi,
1221,Rhinosardinia amazonica,
1222,Gudusia chapra,
1223,Anchoviella perfasciata,
1226,Engraulis australis,
1227,Anchoa compressa,
1229,Stolephorus commersonnii,
1231,Ehirava fluviatilis,
1235,Opisthonema libertate,
1236,Herklotsichthys dispilonotus,
1238,Gonialosa manmina,
1240,Chirocentrodon bleekerianus,
1241,Dussumieria albulina,
1242,Pellona ditchela,
1243,Neoopisthopterus tropicus,
1245,Sauvagella madagascariensis,
1246,Ilisha amazonica,
1248,Pliosteostoma lutipinnis,
1249,Spratellomorpha bianalis,
1250,Sierrathrissa leonensis,
1253,Thryssa baelama,
1254,Sardinella fijiensis,
1255,Dayella malabarica,
1256,Thrattidion noctivagus,
1257,Laeviscutella dekimpei,
1258,Nannothrissa parva,
1259,Ramnogaster arcuata,
1260,Platanichthys platana,
1261,Congothrissa gossei,
1262,Papuengraulis micropinna,
1264,Sprattus fuegensis,
1266,Etrumeus acuminatus,
1267,Denticeps clupeoides,
1268,Alosa caspia,
1271,Nematalosa nasus,
1272,Gonialosa modesta,
1274,Thryssa setirostris,
1275,Poecilothrissa congica,
1276,Potamothrissa obtusirostris,
1277,Odaxothrissa mento,
1278,Stolothrissa tanganicae,
1279,Limnothrissa miodon,
1282,Alosa fallax,
1284,Hyperlophus translucidus,
1285,Amazonsprattus scintilla,
1287,Hilsa kelee,
1295,Cromeria occidentalis,
1296,Kneria katangae,
1297,Kneria maydelli,
1298,Kneria paucisquamata,
1299,Kneria polli,
1300,Kneria sjolandersi,
1301,Parakneria spekii,
1302,Kneria stappersii,
1304,Kneria wittei,
1305,Parakneria cameronensis,
1306,Parakneria fortuita,
1307,Parakneria kissi,
1308,Parakneria ladigesi,
1309,Parakneria lufirae,
1310,Parakneria malaissei,
1311,Parakneria marmorata,
1312,Parakneria mossambica,
1313,Parakneria thysi,
1314,Parakneria vilhenae,
1317,Phractolaemus ansorgii,
